Date,Open,High,Low,Close,Adj Close,Volume
20-02-2019,364.850006,366.709991,356.700012,359.910004,359.910004,8110700
21-02-2019,360.029999,362.850006,353.880005,356.970001,356.970001,6227900
22-02-2019,360.339996,366.130005,360.049988,363.019989,363.019989,7088200
25-02-2019,367.01001,371.48999,363.790009,363.910004,363.910004,7569300
26-02-2019,362.980011,365.700012,359.329987,364.970001,364.970001,4944600
27-02-2019,363.5,368.029999,359.799988,362.869995,362.869995,5629900
28-02-2019,362.470001,366.390015,357.709991,358.100006,358.100006,6186800
01-03-2019,362.26001,362.869995,354.690002,357.320007,357.320007,5526500
04-03-2019,359.720001,362.25,348.040009,351.040009,351.040009,7487000
05-03-2019,351.459991,356.170013,348.25,354.299988,354.299988,5937800
06-03-2019,353.600006,359.880005,351.700012,359.609985,359.609985,6211900
07-03-2019,360.160004,362.859985,350.5,352.600006,352.600006,6151300
08-03-2019,345.75,349.920013,342.470001,349.600006,349.600006,6898800
11-03-2019,352,358.980011,350.029999,358.859985,358.859985,5387300
12-03-2019,359.369995,360.130005,353.799988,356.269989,356.269989,5164600
13-03-2019,355.809998,362.480011,352.769989,361.209991,361.209991,6444100
14-03-2019,360.5,363.839996,358.100006,358.820007,358.820007,5271400
15-03-2019,361.019989,364,358.890015,361.459991,361.459991,8444500
18-03-2019,362.470001,370.970001,361.859985,363.440002,363.440002,7194700
19-03-2019,366.399994,366.959991,356.799988,358.779999,358.779999,7541400
20-03-2019,358.910004,375.899994,357.01001,375.220001,375.220001,10917200
21-03-2019,374,379,370.609985,377.869995,377.869995,8544000
22-03-2019,375.950012,376.429993,360.040009,361.01001,361.01001,8661300
25-03-2019,359,367.040009,357.440002,366.230011,366.230011,8473800
26-03-2019,367.869995,368.380005,358.019989,359.970001,359.970001,7666500
27-03-2019,361,362.470001,350.369995,353.369995,353.369995,7852400
28-03-2019,354.48999,355.940002,349.200012,354.609985,354.609985,4361000
29-03-2019,357.160004,358.25,353.709991,356.559998,356.559998,4705600
01-04-2019,359,368.329987,358.51001,366.959991,366.959991,7036100
02-04-2019,366.25,368.420013,362.220001,367.720001,367.720001,5158700
03-04-2019,369.26001,373.410004,366.190002,369.75,369.75,5376600
04-04-2019,370.070007,372.049988,362.399994,367.880005,367.880005,4627300
05-04-2019,369,369.799988,364.660004,365.48999,365.48999,3905500
08-04-2019,365.109985,365.940002,359.929993,361.410004,361.410004,4653800
09-04-2019,360.540009,366.73999,359,364.709991,364.709991,5439200
10-04-2019,365.790009,368.850006,362.25,363.920013,363.920013,4545600
11-04-2019,365,370.119995,360.809998,367.649994,367.649994,6526900
12-04-2019,360.690002,361.75,349.359985,351.140015,351.140015,15646200
15-04-2019,350.709991,352.209991,342.269989,348.869995,348.869995,8842300
16-04-2019,355,364.480011,352.720001,359.459991,359.459991,18740200
17-04-2019,365.049988,368.76001,350.600006,354.73999,354.73999,18054100
18-04-2019,355,360.410004,351.640015,360.350006,360.350006,8353200
22-04-2019,359.700012,377.690002,359,377.339996,377.339996,11980500
23-04-2019,375.450012,384.799988,374.709991,381.890015,381.890015,10089800
24-04-2019,381.070007,381.899994,373.269989,374.230011,374.230011,6541900
25-04-2019,374.48999,374.76001,365.700012,368.329987,368.329987,6255500
26-04-2019,368.350006,375.140015,366.23999,374.850006,374.850006,5621900
29-04-2019,373.679993,374.579987,369.119995,371.829987,371.829987,3821700
30-04-2019,369.559998,374.5,368.350006,370.540009,370.540009,3870100
01-05-2019,374,385.98999,373.170013,378.809998,378.809998,9257300
02-05-2019,378,383.5,374.51001,379.059998,379.059998,5398200
03-05-2019,381.529999,385.029999,378.269989,385.029999,385.029999,5130300
06-05-2019,377.690002,381.350006,376,378.670013,378.670013,5793100
07-05-2019,377,379.910004,365.809998,370.459991,370.459991,6974900
08-05-2019,367.920013,369,361.359985,364.369995,364.369995,6572000
09-05-2019,360.899994,364.200012,352.75,362.75,362.75,5882600
10-05-2019,361.619995,365.26001,353.059998,361.040009,361.040009,5657100
13-05-2019,352.290009,354.26001,343.100006,345.26001,345.26001,8026700
14-05-2019,348.709991,349.950012,342.5,345.609985,345.609985,5353000
15-05-2019,343.339996,356.5,341.390015,354.98999,354.98999,6340100
16-05-2019,356.369995,364,353.940002,359.309998,359.309998,6441500
17-05-2019,356.390015,359.619995,353.790009,354.450012,354.450012,4725400
20-05-2019,351.230011,352.420013,345.399994,348.109985,348.109985,4621500
21-05-2019,350.950012,356.429993,349.929993,354.269989,354.269989,4026400
22-05-2019,358.01001,370.459991,357.299988,359.730011,359.730011,6229400
23-05-2019,355.5,357.420013,347.700012,352.209991,352.209991,5630400
24-05-2019,355.410004,359.440002,353.790009,354.390015,354.390015,3831000
28-05-2019,354.390015,361.200012,353.649994,355.059998,355.059998,4717100
29-05-2019,353.600006,353.850006,345.899994,349.190002,349.190002,5658900
30-05-2019,350.549988,354.209991,348.299988,351.850006,351.850006,4008000
31-05-2019,347.220001,349.339996,342.920013,343.279999,343.279999,5023400
03-06-2019,343.559998,347.660004,332.649994,336.630005,336.630005,7849600
04-06-2019,345,353.609985,343.25,353.399994,353.399994,7891600
05-06-2019,354.380005,357.880005,348.709991,355.730011,355.730011,5020100
06-06-2019,354.839996,358.209991,352.089996,357.130005,357.130005,3710000
07-06-2019,357.390015,365.149994,355.690002,360.869995,360.869995,4777300
10-06-2019,363.649994,367.100006,349.290009,352.01001,352.01001,7810300
11-06-2019,355,357.579987,348.5,351.269989,351.269989,5396700
12-06-2019,351.820007,353.609985,343.230011,345.559998,345.559998,4579300
13-06-2019,347.230011,348.5,339.25,343.429993,343.429993,6209300
14-06-2019,341.630005,343.399994,336.160004,339.730011,339.730011,5019000
17-06-2019,342.690002,351.769989,342.059998,350.619995,350.619995,5351200
18-06-2019,355.570007,361.5,353.75,357.119995,357.119995,5428500
19-06-2019,361.720001,364.73999,356.119995,363.519989,363.519989,5667200
20-06-2019,365.910004,370.119995,361.220001,365.209991,365.209991,5899500
21-06-2019,365,371.450012,365,369.209991,369.209991,7448400
24-06-2019,370.269989,375,370.200012,371.040009,371.040009,4830200
25-06-2019,370.75,371,358.290009,360.299988,360.299988,5750400
26-06-2019,361.600006,366.790009,361.600006,362.200012,362.200012,3669700
27-06-2019,363.200012,370.850006,363.200012,370.019989,370.019989,4138600
28-06-2019,370.26001,371.540009,364.869995,367.320007,367.320007,4592700
01-07-2019,373.5,376.660004,372,374.600006,374.600006,4992600
02-07-2019,374.890015,376,370.309998,375.429993,375.429993,3625000
03-07-2019,376.690002,381.98999,375.839996,381.720001,381.720001,3799000
05-07-2019,378.290009,381.399994,375.559998,380.549988,380.549988,3732200
08-07-2019,378.190002,378.25,375.359985,376.160004,376.160004,3113400
09-07-2019,379.059998,384.76001,377.5,379.929993,379.929993,6932800
10-07-2019,382.769989,384.339996,362.679993,381,381,5878800
11-07-2019,381.100006,384.540009,378.799988,379.5,379.5,4336300
12-07-2019,378.679993,379.73999,372.790009,373.25,373.25,6636900
15-07-2019,372.940002,373.679993,362.299988,366.600006,366.600006,7944700
16-07-2019,370.089996,371.339996,364.920013,365.98999,365.98999,5863200
17-07-2019,366.25,366.5,361.75,362.440002,362.440002,13639500
18-07-2019,323.76001,329.850006,320.299988,325.209991,325.209991,31305900
19-07-2019,323.399994,325.850006,314.230011,315.100006,315.100006,16302500
22-07-2019,312,314.540009,305.809998,310.619995,310.619995,17718000
23-07-2019,311.440002,313.5,306,307.299988,307.299988,9171100
24-07-2019,310.51001,319.98999,307.25,317.940002,317.940002,11961800
25-07-2019,318.859985,327.690002,316.299988,326.459991,326.459991,10798500
26-07-2019,328.790009,336,327.5,335.779999,335.779999,10847500
29-07-2019,335.980011,336.399994,328.769989,332.700012,332.700012,5782800
30-07-2019,329.200012,329.649994,323.230011,325.929993,325.929993,6029300
31-07-2019,325.160004,331.769989,318.529999,322.98999,322.98999,6259500
01-08-2019,324.25,328.579987,318.73999,319.5,319.5,6563200
02-08-2019,317.48999,319.410004,311.799988,318.829987,318.829987,6280300
05-08-2019,310.959991,313.420013,304.679993,307.630005,307.630005,8692500
06-08-2019,310.579987,311.880005,305.299988,310.100006,310.100006,6179100
07-08-2019,302.559998,305,296.809998,304.290009,304.290009,9322400
08-08-2019,311.029999,316.359985,306.630005,315.899994,315.899994,5905900
09-08-2019,313.73999,316.640015,305.679993,308.929993,308.929993,5349100
12-08-2019,305.459991,312.890015,303.23999,310.829987,310.829987,6531700
13-08-2019,309.769989,316.429993,308.160004,312.279999,312.279999,5289400
14-08-2019,308.01001,308.410004,298.01001,299.109985,299.109985,7355800
15-08-2019,299.5,300.630005,288,295.76001,295.76001,9629200
16-08-2019,298.859985,303.549988,296.269989,302.799988,302.799988,6905800
19-08-2019,306.25,311.75,304.75,309.380005,309.380005,4942200
20-08-2019,304.570007,305,297.679993,298.98999,298.98999,7349900
21-08-2019,301.609985,302.880005,296.200012,297.809998,297.809998,5685400
22-08-2019,298.649994,300.329987,293.149994,296.929993,296.929993,4974200
23-08-2019,295,299.01001,290.320007,291.440002,291.440002,6324900
26-08-2019,295.23999,296.950012,292.5,294.980011,294.980011,4695700
27-08-2019,294.540009,296.769989,287.200012,291.029999,291.029999,6309400
28-08-2019,289.470001,292.820007,287.75,291.769989,291.769989,3955700
29-08-2019,295,299.929993,294.98999,296.779999,296.779999,4388500
30-08-2019,298.779999,298.940002,290.850006,293.75,293.75,4446400
03-09-2019,290.820007,293.899994,288.059998,289.290009,289.290009,3682800
04-09-2019,291.25,292.380005,286.51001,291.519989,291.519989,4652500
05-09-2019,285.320007,293.970001,282.790009,293.25,293.25,8966800
06-09-2019,293.350006,293.350006,287.029999,290.170013,290.170013,5166600
09-09-2019,294.809998,301.549988,290.600006,294.339996,294.339996,8232700
10-09-2019,291.160004,297.170013,282.660004,287.98999,287.98999,12320200
11-09-2019,285.700012,292.649994,284.609985,288.269989,288.269989,7405900
12-09-2019,288.100006,292.730011,286.600006,288.859985,288.859985,5010900
13-09-2019,290.609985,296.619995,290.040009,294.149994,294.149994,6583100
16-09-2019,294.230011,297.429993,289.779999,294.290009,294.290009,5307400
17-09-2019,294.5,299.149994,291.790009,298.600006,298.600006,4777100
18-09-2019,294.98999,296.049988,287.450012,291.559998,291.559998,7811100
19-09-2019,291.559998,293.809998,283.399994,286.600006,286.600006,8461300
20-09-2019,280.26001,282.5,266,270.75,270.75,23832800
23-09-2019,268.350006,273.390015,261.890015,265.920013,265.920013,13478600
24-09-2019,262.5,265,252.279999,254.589996,254.589996,16338200
25-09-2019,255.710007,266.600006,253.699997,264.75,264.75,11643800
26-09-2019,266.420013,268.049988,260.200012,263.309998,263.309998,7684000
27-09-2019,266.179993,267.440002,260.390015,263.079987,263.079987,7328300
30-09-2019,264,268.880005,262.779999,267.619995,267.619995,6727200
01-10-2019,267.350006,272.200012,264.029999,269.579987,269.579987,8650300
02-10-2019,263.609985,269.350006,262.190002,268.029999,268.029999,7659100
03-10-2019,267.779999,268.839996,257.01001,268.149994,268.149994,8951000
04-10-2019,268.200012,275.480011,266.470001,272.790009,272.790009,9890400
07-10-2019,271.98999,276.679993,271.279999,274.459991,274.459991,6525600
08-10-2019,273.029999,275.529999,270.640015,270.720001,270.720001,6276400
09-10-2019,270.019989,271,264.570007,267.529999,267.529999,6794400
10-10-2019,265.970001,280.529999,265.029999,280.480011,280.480011,10809100
11-10-2019,284.799988,287.869995,282.339996,282.929993,282.929993,8786100
14-10-2019,283.929993,286.929993,282,285.529999,285.529999,5513200
15-10-2019,283.820007,285.869995,279.399994,284.25,284.25,7685600
16-10-2019,283.119995,288.170013,280.73999,286.279999,286.279999,16175900
17-10-2019,304.48999,308.75,288.299988,293.350006,293.350006,38258900
18-10-2019,289.359985,290.899994,273.359985,275.299988,275.299988,23429900
21-10-2019,272.890015,279.940002,269,278.049988,278.049988,12599200
22-10-2019,271.160004,275.410004,265.799988,266.690002,266.690002,11802400
23-10-2019,268.059998,273.920013,266.630005,271.269989,271.269989,7133500
24-10-2019,271.809998,274.019989,268.799988,271.5,271.5,4827400
25-10-2019,270.679993,277.769989,270.179993,276.820007,276.820007,4747800
28-10-2019,278.049988,285.75,277.350006,281.859985,281.859985,6248400
29-10-2019,281.869995,284.410004,277.549988,281.209991,281.209991,4356200
30-10-2019,284.339996,293.48999,283,291.450012,291.450012,9345600
31-10-2019,291,291.450012,284.779999,287.410004,287.410004,5090000
01-11-2019,288.700012,289.119995,283.019989,286.809998,286.809998,5594300
04-11-2019,288,295.390015,287.160004,292.859985,292.859985,5566200
05-11-2019,289.98999,291.190002,286.309998,288.029999,288.029999,4062400
06-11-2019,288.190002,290.559998,285.839996,288.589996,288.589996,3438300
07-11-2019,290.700012,298.190002,288.269989,289.570007,289.570007,5928500
08-11-2019,288.730011,293.98999,287.51001,291.570007,291.570007,4509000
11-11-2019,289.160004,296.359985,288.5,294.179993,294.179993,3944300
12-11-2019,295.320007,295.350006,288.700012,292.01001,292.01001,5772800
13-11-2019,291.029999,293.410004,281.140015,283.109985,283.109985,9158900
14-11-2019,283.25,290.630005,283.220001,289.619995,289.619995,6529000
15-11-2019,290.589996,295.820007,287.570007,295.029999,295.029999,6333800
18-11-2019,296,304.98999,293.279999,302.570007,302.570007,8616600
19-11-2019,304.01001,305.670013,298.519989,302.600006,302.600006,5918000
20-11-2019,301.01001,308.25,301,305.160004,305.160004,5111800
21-11-2019,306,312.690002,304.26001,311.690002,311.690002,7488400
22-11-2019,309.100006,311.399994,304.410004,310.480011,310.480011,5970100
25-11-2019,308.829987,315.730011,305.25,315.549988,315.549988,7873900
26-11-2019,315,316.5,311.690002,312.48999,312.48999,5321000
27-11-2019,313.929993,316.820007,312.75,315.929993,315.929993,4096900
29-11-2019,315.779999,316.619995,313.339996,314.660004,314.660004,2411700
02-12-2019,314.390015,314.390015,303.75,309.98999,309.98999,6218800
03-12-2019,302.220001,307.359985,301.880005,306.160004,306.160004,4992800
04-12-2019,308.429993,308.429993,303.269989,304.320007,304.320007,3512100
05-12-2019,305.269989,306.480011,298.809998,302.859985,302.859985,4615500
06-12-2019,304.700012,307.850006,302.600006,307.350006,307.350006,4457800
09-12-2019,307.350006,311.48999,302.440002,302.5,302.5,5748400
10-12-2019,296.119995,298.940002,292.019989,293.119995,293.119995,10476100
11-12-2019,294.48999,299.429993,294.200012,298.929993,298.929993,5589800
12-12-2019,295.670013,299.170013,295.059998,298.440002,298.440002,4766600
13-12-2019,298.5,301.799988,297.25,298.5,298.5,3879700
16-12-2019,300.850006,305.709991,298.630005,304.209991,304.209991,4658900
